session_id,uid,tA,tB,dt
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:46.735615Z,2025-11-10T13:06:46.686404Z,0.049211
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:46.735615Z,2025-11-10T13:06:47.155603Z,-0.419988
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:47.027569Z,2025-11-10T13:06:47.155603Z,-0.128034
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:47.219770Z,2025-11-10T13:06:47.155603Z,0.064167
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:47.219770Z,2025-11-10T13:06:47.249505Z,-0.029735
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:47.445283Z,2025-11-10T13:06:47.249505Z,0.195778
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:47.445283Z,2025-11-10T13:06:47.446541Z,-0.001258
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:47.704254Z,2025-11-10T13:06:47.446541Z,0.257713
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:47.704254Z,2025-11-10T13:06:47.684954Z,0.0193
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:47.704254Z,2025-11-10T13:06:48.174730Z,-0.470476
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:48.074940Z,2025-11-10T13:06:48.174730Z,-0.09979
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:48.200454Z,2025-11-10T13:06:48.174730Z,0.025724
S20251109_S2_TAG09_d3_o45_run1,D622442E,2025-11-10T13:06:48.200454Z,2025-11-10T13:06:48.243693Z,-0.043239
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:52.944382Z,2025-11-10T13:07:53.028910Z,-0.084528
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:53.275842Z,2025-11-10T13:07:53.028910Z,0.246932
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:53.275842Z,2025-11-10T13:07:53.429556Z,-0.153714
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:53.476387Z,2025-11-10T13:07:53.429556Z,0.046831
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:53.476387Z,2025-11-10T13:07:53.491919Z,-0.015532
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:53.796131Z,2025-11-10T13:07:53.491919Z,0.304212
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:53.796131Z,2025-11-10T13:07:53.974428Z,-0.178297
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:53.981695Z,2025-11-10T13:07:53.974428Z,0.007267
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:53.981695Z,2025-11-10T13:07:54.004064Z,-0.022369
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:54.203278Z,2025-11-10T13:07:54.004064Z,0.199214
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:54.203278Z,2025-11-10T13:07:54.232563Z,-0.029285
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:54.453074Z,2025-11-10T13:07:54.232563Z,0.220511
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:54.453074Z,2025-11-10T13:07:54.476500Z,-0.023426
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:54.723329Z,2025-11-10T13:07:54.476500Z,0.246829
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:54.723329Z,2025-11-10T13:07:54.754278Z,-0.030949
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:54.992913Z,2025-11-10T13:07:54.754278Z,0.238635
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:54.992913Z,2025-11-10T13:07:54.969216Z,0.023697
S20251109_S2_TAG09_d3_o90_run1,D622442E,2025-11-10T13:07:54.992913Z,2025-11-10T13:07:55.461325Z,-0.468412
